"Country","State","City","Population","Lat","Lon"
"Germany","Berlin","Berlin",3520031,52.52,13.38
"Germany","Hamburg","Hamburg",1787408,53.55,10.
"Germany","Bavaria","Munich",1500560,48.14,11.58
"Germany","NorthRhineWestphalia","Cologne",1081701,50.95,6.97
"Germany","Hesse","Frankfurt",736414,50.120000000000005,8.68
"Germany","BadenWurttemberg","Stuttgart",623738,48.79,9.19
"Germany","NorthRhineWestphalia","Dusseldorf",639407,51.24,6.79
"Germany","NorthRhineWestphalia","Essen",590194,51.47,7.
"Germany","NorthRhineWestphalia","Dortmund",585813,51.51,7.48
"Germany","Bremen","Bremen",565719,53.08,8.81
"Germany","Saxony","Dresden",523058,51.050000000000004,13.74
"Germany","LowerSaxony","Hanover",532864,52.4,9.73
"Germany","Saxony","Leipzig",506578,51.35,12.4
"Germany","Bavaria","Nuremberg",511628,49.45,11.05
"Germany","NorthRhineWestphalia","Duisburg",499845,51.43,6.75
"Germany","NorthRhineWestphalia","Bochum",364920,51.480000000000004,7.2
"Germany","NorthRhineWestphalia","Wuppertal",352390,51.26,7.18
"Germany","NorthRhineWestphalia","Bielefeld",337219,52.03,8.53
"Germany","NorthRhineWestphalia","Bonn",322960,50.730000000000004,7.1000000000000005
"Germany","BadenWurttemberg","Mannheim",313174,49.5,8.47
"Germany","BadenWurttemberg","Karlsruhe",307263,49.,8.4
"Germany","Hesse","Wiesbaden",275562,50.08,8.23
"Germany","NorthRhineWestphalia","Munster",272106,51.96,7.62
"Germany","NorthRhineWestphalia","Gelsenkirchen",266772,51.51,7.11
"Germany","Bavaria","Augsburg",262512,48.36,10.89
"Germany","NorthRhineWestphalia","Monchengladbach",260951,51.2,6.42
"Germany","NorthRhineWestphalia","Aachen",254782,50.77,6.09
"Germany","Saxony","Chemnitz",245700,50.83,12.92
"Germany","LowerSaxony","Brunswick",245467,52.27,10.51
"Germany","NorthRhineWestphalia","Krefeld",226812,51.33,6.55
"Germany","SaxonyAnhalt","Halle",235720,51.480000000000004,11.96
"Germany","SchleswigHolstein","Kiel",235366,54.32,10.120000000000001
"Germany","SaxonyAnhalt","Magdeburg",229826,52.13,11.620000000000001
"Germany","NorthRhineWestphalia","Oberhausen",218181,51.47,6.86
"Germany","BadenWurttemberg","Freiburg",217547,47.99,7.8500000000000005
"Germany","SchleswigHolstein","Lubeck",211213,53.870000000000005,10.66
"Germany","Thuringia","Erfurt",211113,50.99,11.03
"Germany","MecklenburgWesternPomerania","Rostock",206011,54.09,12.1
"Germany","RheinlandPalatinate","Mainz",196425,50.,8.26
