AGS_12,state,nuts2,district,name,population,male,female,male_under10,female_under10,male_10to19,female_10to19,male_20to29,female_20to29,male_30to39,female_30to39,male_40to49,female_40to49,male_50to59,female_50to59,male_60to69,female_60to69,male_70to79,female_70to79,male_80andover,female_80andover,working_population,agriculture_forests_fishery,mining_and_industry,energy_water_waste,construction,trade_carmechanics_tourism,traffic_storage_communication,finance_insurance,property,public_administration,other_services,unknown
1001,1,0,1,"Flensburg, Stadt",82258,40534,41724,3608,2791,3844,3710,6851,6840,5161,4663,6525,5943,5296,5327,4231,4865,3633,4496,1385,3089,40940,,5080,610,1450,8610,3280,730,5940,4110,10880,0
1002,1,0,2,"Kiel, Landeshauptstadt",235782,113505,122277,9981,9002,9917,9944,20583,23681,17058,15471,17579,17795,14305,14878,11794,12452,8975,11325,3313,7729,118100,,10930,1550,4520,20840,9750,3610,17050,11510,37740,0
1003,1,0,3,"Lübeck, Hansestadt",210305,99832,110473,8609,8088,9343,9638,13813,13952,12267,12562,16203,16995,13807,14033,11717,13176,10205,12952,3868,9077,99990,,13170,1190,4080,17720,9750,2400,12650,7450,30900,
1004,1,0,4,"Neumünster, Stadt",77249,37710,39539,3410,3162,4115,4142,4911,4383,4292,4168,6281,6223,5204,5281,4453,4694,3657,4557,1387,2929,36570,,4580,660,2840,7750,3300,1020,4020,3260,8790,
1051,1,0,51,Dithmarschen,133900,65528,68372,5766,5548,8040,7689,6799,6316,6769,6669,10937,11054,9478,9616,8160,8348,7097,8161,2482,4971,62210,3160,9270,1320,5130,11470,4350,1470,5920,5430,14680,0
1053,1,0,53,Herzogtum Lauenburg,187137,90976,96162,8628,8180,10769,9982,8958,8727,9570,10706,16821,16986,13254,13293,10435,11133,9339,10613,3202,6542,96080,1880,14990,1640,5420,17950,8570,3390,11470,8350,22420,0
1054,1,0,54,Nordfriesland,163665,79541,84124,7109,6714,9869,9391,8809,7891,8065,8678,13472,13877,11295,11777,9755,10404,8277,9560,2890,5832,84740,4190,6620,1530,7100,21670,4290,2230,8860,8570,19660,10
1055,1,0,55,Ostholstein,198413,95265,103148,7636,7333,10476,9711,8683,8491,9347,10317,16208,16963,14196,15066,13328,14058,11446,12955,3945,8254,99240,2380,11400,1620,5850,22550,7500,2740,10190,9100,25920,
1056,1,0,56,Pinneberg,296341,144046,152295,13669,12907,16356,14941,14458,14474,15621,17308,27124,26596,20516,20938,16804,18553,14628,17017,4870,9561,155230,3660,23530,2290,8170,31390,14810,6830,21500,11330,31720,
1057,1,0,57,Plön,127676,61687,65989,5238,5093,7449,7121,5419,5067,5983,6451,10903,11597,9176,9373,8235,8746,6979,7944,2305,4597,63550,2040,7430,790,3880,11860,4710,2170,6910,7790,15990,
1058,1,0,58,Rendsburg-Eckernförde,269362,131868,137496,12314,11512,16461,15285,12672,11876,13412,14513,23876,24443,19029,19463,16266,16598,13493,14939,4345,8867,135990,5030,15830,2080,8950,23470,9850,4350,14770,15680,35960,10
1059,1,0,59,Schleswig-Flensburg,196025,96605,99420,8958,8334,12329,11590,9333,8767,9978,10278,17026,17057,13725,13847,12006,11977,10020,10991,3230,6579,97630,4940,11940,1360,6390,18020,6200,2620,9940,10380,25830,10
1060,1,0,60,Segeberg,260665,127503,133162,12106,11225,14543,13736,13009,12974,14720,15312,23702,23777,18030,18634,15287,16070,12344,14013,3762,7421,136870,2740,20820,1630,7940,28580,12520,5190,17640,9450,30350,0
1061,1,0,61,Steinburg,130785,64208,66575,5611,5442,7717,7530,6619,5971,6481,6679,12039,12026,9514,9321,7563,7738,6593,7478,2071,4390,65610,2340,10440,1480,4430,11240,4480,2050,8610,5830,14700,10
