"Country","State","City","Population","Lat","Lon"
"Botswana","Gaborone","Gaborone",231626,-24.65,25.91
"Botswana","Francistown","Francistown",89979,-21.17,27.5
"Botswana","Kweneng","Molepolole",67598,-24.400000000000002,25.51
"Botswana","SelibePhikwe","SelibePhikwe",49724,-21.98,27.830000000000002
"Botswana","Okavango","Maun",55784,-19.990000000000002,23.42
"Botswana","SerowePalapye","Serowe",47447,-22.39,26.71
"Botswana","Ngwaketse","Kanye",45196,-24.97,25.34
"Botswana","Mahalapye","Mahalapye",41316,-23.1,26.82
"Botswana","Kweneng","Mogoditshane",57637,-24.63,25.87
"Botswana","Kgatleng","Mochudi",44815,-24.37,26.150000000000002
"Botswana","Lobatse","Lobatse",29082,-25.22,25.68
"Botswana","SerowePalapye","Palapye",36211,-22.56,27.13
"Botswana","SouthEast","Tlokweng",35982,-24.53,25.97
"Botswana","SouthEast","Ramotswa",27760,-24.830000000000002,25.84
"Botswana","Kweneng","Thamaga",19547,-24.72,25.53
"Botswana","Ngwaketse","Moshupa",19780,-24.77,25.41
"Botswana","Boteti","Letlhakane",20841,-21.42,25.59
"Botswana","Bobonong","Bobonong",17720,-21.97,28.42
"Botswana","Tutume","Tonota",20007,-21.44,27.48
"Botswana","Jwaneng","Jwaneng",18063,-25.42,25.55
"Botswana","Tutume","Tutume",15862,-20.51,27.05
"Botswana","Kweneng","Gabane",14842,-24.66,25.78
"Botswana","Bobonong","Mmadinare",12873,-21.88,27.75
"Botswana","Ghanzi","Ghanzi",12267,-21.7,21.64
"Botswana","Chobe","Kasane",7638,-17.81,25.150000000000002
"Botswana","Orapa","Orapa",9189,-21.28,25.37
"Botswana","KgalagadiSouth","Tsabong",8325,-26.01,22.400000000000002
"Botswana","Mahalapye","Shoshong",8298,-22.95,26.48
"Botswana","Okavango","Gumare",7387,-19.22,22.2
"Botswana","Kweneng","Kopong",9320,-24.48,25.88
"Botswana","Kweneng","Letlhakeng",6032,-24.07,25.03
"Botswana","SerowePalapye","Lerala",6681,-22.7803,27.7769
"Botswana","Ngwaketse","Molapowabojang",6349,-25.,25.1667
"Botswana","SouthEast","Otse",7636,-25.02,25.73
"Botswana","Ngamiland","Shakawe",5651,-18.36,21.84
"Botswana","Kweneng","Metsimotlhaba",5544,-24.55,25.8
"Botswana","Tutume","Maitengwe",5450,-19.98,26.43
"Botswana","Kweneng","Mmankgodi",5370,-24.7239,25.6389
"Botswana","Ngwaketse","Lotlhakane",5236,-25.0861,25.4583
"Botswana","NorthEast","Tati",5234,-21.35,27.45
"Botswana","Bobonong","Tsienyane",5222,-21.02,24.330000000000002
"Botswana","Ngwaketse","Mmathethe",5153,-25.3153,25.2694
"Botswana","Kweneng","Lentsweletau",4992,-24.38,25.85
"Botswana","Kweneng","Mmopane",4927,-24.57,25.87
"Botswana","Mahalapye","Sefhare",4861,-23.029,27.4691
"Botswana","Tutume","Nata",4794,-20.21,26.19
"Botswana","Tutume","Gweta",4689,-20.2,25.25
"Botswana","Tutume","Mathangwane",4675,-21.03,27.32
"Botswana","KgalagadiNorth","Hukuntsi",4403,-24.,21.75
"Botswana","KgalagadiNorth","Kang",4229,-23.75,22.830000000000002
"Botswana","Kgatleng","Bokaa",5765,-24.45,26.02
"Botswana","Bobonong","Sefophe",4114,-22.18,27.97
"Botswana","Tutume","Borolong",3949,-21.1033,27.3361
"Botswana","Tutume","Nkange",3831,-20.2989,27.1356
"Botswana","Kweneng","MogoditshaneBotswanaDefenceForce",3787,-24.68,25.810000000000002
"Botswana","Bobonong","Tsetsebjwe",4396,-22.4159,28.398
"Botswana","Kgatleng","Oodi",3728,-24.5731,26.0339
"Botswana","Mahalapye","Ramokgonami",3681,-22.93,27.47
"Botswana","NorthEast","Masunga",5696,-20.67,27.42
"Botswana","Kweneng","Kumakwane",3477,-24.6553,25.6992
"Botswana","SerowePalapye","Maunatlala",3361,-22.57,27.57
"Botswana","Ngwaketse","Manyana",3338,-23.400000000000002,21.72
"Botswana","Bobonong","Mopipi",3301,-21.18,24.88
"Botswana","Sowa","Sowa",3141,-20.05,26.2
"Botswana","Ngwaketse","Pitsane",3101,-25.47,25.580000000000002
"Botswana","Ngwaketse","GoodHope",3075,-25.4671,25.4392
"Botswana","Tutume","Sebina",3030,-20.87,27.25
"Botswana","Mahalapye","Chadibe",2986,-22.98,27.55
"Botswana","Kgatleng","Morwa",2696,-24.4369,26.0728
"Botswana","Okavango","Etsha6",2915,-19.1169,22.2953
"Botswana","SerowePalapye","Radisele",2897,-22.82,27.
"Botswana","SouthEast","RamotswaStationTaung",2859,-24.830000000000002,25.87
"Botswana","Ngwaketse","Digawana",2803,-25.347,25.5629
"Botswana","Ngwaketse","Ranaka",2771,-24.9108,25.4711
"Botswana","SerowePalapye","Moiyabana",2768,-22.43,26.42
"Botswana","Tutume","Mandunyane",2749,-21.330000000000002,27.400000000000002
"Botswana","Tutume","Senete",2703,-20.3256,27.1302
"Botswana","SerowePalapye","Lecheng",2696,-22.650000000000002,27.27
"Botswana","Kgatleng","Rasesa",2461,-24.3751,26.077
"Botswana","Kgatleng","Modipane",2626,-24.6203,26.1231
"Botswana","Kgatleng","Malolwane",2567,-24.5481,26.4728
"Botswana","Tutume","ShasheMooke",2458,-21.400000000000002,27.45
"Botswana","SerowePalapye","Thabala",2414,-22.4891,26.4291
"Botswana","SerowePalapye","Serule",2397,-21.95,27.3
"Botswana","Mahalapye","Mookane",2397,-23.73,26.63
"Botswana","SerowePalapye","Ratholo",2377,-22.68,27.580000000000002
"Botswana","Mahalapye","Kalamare",2339,-22.87,26.5
"Botswana","SerowePalapye","Lesenepole",2301,-22.5856,27.5675
"Botswana","SouthEast","Mogobane",2300,-24.9842,25.6969
"Botswana","Kweneng","Sojwe",2277,-23.4386,25.7622
"Botswana","Kgatleng","Mmathubudukwane",2221,-24.6,26.43
"Botswana","SerowePalapye","Paje",2207,-22.2653,26.7918
"Botswana","Okavango","Etsha13",2190,-19.1272,22.2931
"Botswana","KgalagadiSouth","Werda",2149,-25.27,23.28
"Botswana","SerowePalapye","Mogorosi",2149,-22.4387,26.5653
"Botswana","Mahalapye","Machaneng",2139,-23.18,27.5
"Botswana","Ngwaketse","Khakhea",2133,-24.650000000000002,23.5
"Botswana","Ghanzi","CharlesHill",2055,-22.2764,20.0928
"Botswana","Tutume","Dukwi",2037,-20.580000000000002,26.42
"Botswana","Kweneng","Khudumelapye",2035,-23.88,24.75
"Botswana","NorthEast","Nlakhwane",2016,-20.5157,27.519
"Botswana","Bobonong","Mathathane",1987,-22.27,28.75
"Botswana","Kweneng","Ditshegwane",1956,-24.1667,24.9617
"Botswana","KgalagadiNorth","Lehututu",1942,-23.97,21.87
"Botswana","Bobonong","Tobane",1925,-21.95,27.900000000000002
"Botswana","Bobonong","Molalatau",1925,-22.0737,28.5983
"Botswana","SerowePalapye","Mogapi",1917,-22.330000000000002,27.830000000000002
"Botswana","Kweneng","Salajwe",1888,-23.6958,24.7175
"Botswana","SerowePalapye","Mabeleapudi",1882,-22.28,26.68
"Botswana","Mahalapye","Mosolotshane",1874,-22.9386,26.3786
"Botswana","Tutume","Nswazwi",1865,-20.658,27.2313
"Botswana","Tutume","Nshakashokwe",1841,-20.7897,27.1842
"Botswana","Ngwaketse","Ntlhantlhe",1826,-24.9632,25.594
"Botswana","Mahalapye","Mokobeng",1822,-22.98,27.580000000000002
"Botswana","Okavango","Seronga",1819,-18.8172,22.4182
"Botswana","NorthEast","Moroka",1817,-20.5336,27.6505
"Botswana","Chobe","Kazungula",1815,-17.8039,25.2411
"Botswana","Tutume","Mosetse",1780,-20.75,26.650000000000002
"Botswana","Okavango","Nokaneng",1763,-19.67,22.27
"Botswana","NorthEast","Tsamaya",1762,-20.87,27.57
"Botswana","Kweneng","Takatokwane",2207,-24.03,24.17
"Botswana","Bobonong","Kobojango",1756,-21.82,28.78
"Botswana","NorthEast","Matshelagabedi",1750,-21.1216,27.6648
"Botswana","SerowePalapye","Majwaneng",1736,-22.7892,27.3214
"Botswana","Kgatleng","Sikwane",1718,-24.6342,26.3946
"Botswana","Bobonong","Xhumo",1713,-21.1721,24.6106
"Botswana","Tutume","Marapong",1692,-22.25,28.17
"Botswana","Chobe","Pandamatenga",1685,-18.27,25.650000000000002
"Botswana","Okavango","Sepopa",1684,-18.75,22.1833
"Botswana","Kweneng","Gaphatshwa",1678,-24.57,25.830000000000002
"Botswana","Ngwaketse","Mabule",1665,-25.78,24.6
"Botswana","Mahalapye","Makwate",1660,-23.28,27.3
"Botswana","KgalagadiSouth","Makopong",1645,-25.3314,22.9786
"Botswana","Ngwaketse","PitshaneMolopo",1644,-25.7351,25.101
"Botswana","Kweneng","Motokwe",1638,-24.05,23.3
"Botswana","SerowePalapye","Mmashoro",1631,-21.8669,26.4412
"Botswana","Tutume","Dagwi",1620,-20.2272,27.2265
"Botswana","Ngamiland","Sehithwa",1614,-20.47,22.72
"Botswana","NorthEast","Mapoka",1602,-20.538,27.589
"Botswana","Ghanzi","Ncojane",1591,-23.1339,20.295
"Botswana","Kgatleng","Artisia",1871,-24.05,26.330000000000002
"Botswana","NorthEast","Tshesebe",1580,-20.75,27.57
"Botswana","Kweneng","Nkoyaphiri",1578,-24.63,25.830000000000002
"Botswana","SerowePalapye","Tshimoyapula",1551,-22.1151,26.9269
"Botswana","Ghanzi","Tsootsha",1545,-22.1167,20.55
"Botswana","NorthEast","Ramokgwebana",1538,-21.57,28.
"Botswana","Ngwaketse","Sese",1535,-24.654,24.8061
"Botswana","NorthEast","Zwenshambe",1527,-20.5059,27.4359
"Botswana","SerowePalapye","Mogapinyana",1515,-22.37,27.6
"Botswana","SerowePalapye","Gootau",1502,-22.7268,27.4226
"Botswana","NorthEast","Matsiloje",1488,-21.37,27.87
"Botswana","NorthEast","Senyawe",1488,-20.7817,27.6892
"Botswana","KgalagadiNorth","Lokgwabe",1473,-24.17,21.830000000000002
"Botswana","Bobonong","Moletemane",1472,-22.5102,28.2423
"Botswana","Okavango","Nxamasere",1472,-18.5794,21.9922
"Botswana","Mahalapye","Moshopha",1470,-22.9507,27.3747
"Botswana","NorthEast","Themashanga",1460,-20.8007,27.5513
"Botswana","Okavango","MohemboWest",1440,-18.3,21.8
"Botswana","Ngwaketse","Kgomokasitwa",1424,-25.0925,25.6214
"Botswana","SerowePalapye","Kgagodi",1420,-22.3799,27.5652
"Botswana","Kweneng","Sesung",1419,-24.1022,24.9175
"Botswana","Tutume","Chadibe",1417,-21.0653,27.3478
"Botswana","Tutume","Marobela",1414,-20.8684,27.2301
"Botswana","Ngamiland","Tsao",1409,-20.16,22.46
"Botswana","Tutume","Matobo",1408,-20.5617,27.1122
"Botswana","SerowePalapye","Seolwane",1401,-22.68,27.650000000000002
"Botswana","Ngwaketse","Moshaneng",1400,-24.9081,25.2386
"Botswana","Mahalapye","Kudumatse",1397,-23.400000000000002,27.07
"Botswana","Bobonong","Mokoboxane",1389,-21.2608,24.9503
"Botswana","Tutume","Makuta",1387,-20.6778,27.1194
"Botswana","Mahalapye","Pilikwe",1375,-22.78,27.23
"Botswana","Bobonong","Motlhabaneng",1374,-22.178,28.8722
"Botswana","SerowePalapye","Topisi",1363,-22.17,27.23
"Botswana","NorthEast","Siviya",1336,-20.8564,27.6744
"Botswana","Kgatleng","Matebeleng",1279,-24.5419,26.0397
"Botswana","Kgatleng","Pilane",1277,-24.45,26.13
"Botswana","Ngamiland","Matlapana",1277,-19.9103,23.5306
"Botswana","Mahalapye","Maape",1275,-22.77,27.330000000000002
"Botswana","SerowePalapye","Motshegaletau",1262,-22.5628,26.4111
"Botswana","Mahalapye","Kodibeleng",1259,-23.1222,26.195
"Botswana","Ngwaketse","LotlhakaneWest",1249,-25.0861,25.4586
"Botswana","Ngwaketse","Selokolela",1245,-24.9491,25.111
"Botswana","Boteti","Makalamabedi",1240,-20.3236,23.8878
"Botswana","Bobonong","Semolale",1233,-21.8677,28.8244
"Botswana","Bobonong","Motopi",1217,-20.2156,24.1309
"Botswana","Tutume","Mokubilo",1210,-21.3356,26.4747
"Botswana","Tutume","Natale",1197,-21.1028,27.2256
"Botswana","Bobonong","Mosu",1184,-21.212,26.022
"Botswana","Ngwaketse","Lekgolobotlo",1182,-24.9092,25.625
"Botswana","NorthEast","Mulambakwena",1177,-20.5714,27.4604
"Botswana","Ngwaketse","Magotlhawane",1174,-23.57,27.
"Botswana","KgalagadiSouth","Omaweneno",1170,-25.7617,22.5692
"Botswana","NorthEast","Makaleng",1166,-20.900000000000002,27.28
"Botswana","Kweneng","MogoditshaneLands",1165,-24.6269,25.8656
"Botswana","Okavango","Xakao",1163,-18.3078,21.8858
"Botswana","SerowePalapye","Matlhakola",1159,-22.6,27.37
"Botswana","Ngwaketse","Rakhuna",1143,-25.57,25.580000000000002
"Botswana","Kweneng","Dutlwe",1126,-23.98,23.900000000000002
"Botswana","KgalagadiSouth","Kokotsha",1119,-24.92,23.2217
"Botswana","Tutume","Matsitama",1104,-20.9855,26.5785
"Botswana","SerowePalapye","Gojwane",1100,-21.797,27.2858
"Botswana","Mahalapye","Dinokwe",1099,-23.400000000000002,26.68
"Botswana","KgalagadiSouth","Phepheng",1094,-25.4742,22.8556
"Botswana","NorthEast","Jackalas1",1092,-21.5655,28.0091
"Botswana","Ngwaketse","Sekoma",1083,-24.400000000000002,23.88
"Botswana","Kweneng","Moshaweng",1079,-24.1789,25.4886
"Botswana","NorthEast","Mosojane",1076,-20.6228,27.5193
"Botswana","SerowePalapye","Dimajwe",1075,-21.6789,26.7564
"Botswana","Mahalapye","Mmaphashalala",1072,-23.6475,26.8236
"Botswana","SerowePalapye","Tamasane",1070,-22.32,27.37
"Botswana","Tutume","Borotsi",1055,-21.0576,27.2108
"Botswana","Okavango","Ngarange",1051,-18.3961,22.005
"Botswana","Mahalapye","Dibete",1046,-23.75,26.48
"Botswana","Ghanzi","Dekar",1043,-21.53,21.93
"Botswana","Ngamiland","Shorobe",1043,-19.7619,23.6769
"Botswana","Kweneng","Malwelwe",1030,-24.0504,25.272
"Botswana","Ghanzi","NewXade",1028,-22.1226,22.4169
"Botswana","Ngwaketse","Maokane",1024,-24.97,24.7
"Botswana","NorthEast","Mbalambi",1023,-20.4946,27.3782
"Botswana","Ngwaketse","Magoriapitse",1015,-25.4433,25.2896
"Botswana","Mahalapye","Otse",1015,-25.0333,25.7386
"Botswana","Kweneng","Botlhapatlou",1013,-24.03,25.53
"Botswana","NorthEast","Ditladi",1013,-21.461,27.545
"Botswana","Ngwaketse","Mokatako",1013,-25.7549,25.2206
"Botswana","Tutume","Makobo",1006,-23.48,27.12
"Botswana","Tutume","Changate",1005,-20.3248,27.2291
"Botswana","Ngwaketse","Lorolwana",998,-25.3229,24.4783
"Botswana","Bobonong","Kumaga",996,-20.4709,24.5103
"Botswana","Kweneng","Diagane",986,-24.4066,25.4951
"Botswana","KgalagadiSouth","Bray",985,-25.4512,23.7073
"Botswana","Ngwaketse","Keng",976,-24.5991,23.7552
"Botswana","KgalagadiNorth","Tshane",969,-24.02,21.88
"Botswana","Ngwaketse","Metlobo",969,-25.4225,25.1139
"Botswana","Ngwaketse","Gathwane",966,-25.3919,25.4994
"Botswana","Bobonong","Tshokwe",966,-21.7441,28.1167
"Botswana","NorthEast","Kalakamati",962,-20.63,27.3
"Botswana","Chobe","Kachikau",961,-18.17,24.47
"Botswana","Kweneng","Gamodubu",954,-24.5019,25.7018
"Botswana","Okavango","Kauxwhi",952,-18.2781,21.8403
"Botswana","Tutume","Mabesekwa",949,-21.3086,26.8775
"Botswana","Okavango","Samochema",939,-18.4643,21.9064
"Botswana","Ngwaketse","Kokong",931,-24.42,23.07
"Botswana","Bobonong","Mmatshumo",931,-21.1456,25.66
"Botswana","SerowePalapye","Malatswai",922,-21.8581,26.0867
"Botswana","NorthEast","Masukwane",921,-20.5934,27.5497
"Botswana","Ngamiland","Boro",919,-19.92,23.5
"Botswana","Kweneng","Maboane",900,-24.0961,24.5319
"Botswana","NorthEast","Gulubane",895,-20.9199,27.3087
"Botswana","Mahalapye","Shakwe",893,-23.150000000000002,27.12
"Botswana","Bobonong","Mmadikola",892,-21.04,24.4664
"Botswana","Kgatleng","Mabalane",882,-24.6267,26.3803
"Botswana","Tutume","Ntala",882,-20.8684,27.2301
"Botswana","Chobe","Parakarungu",879,-18.0353,24.3242
"Botswana","Mahalapye","Mmutlana",878,-23.0438,26.5801
