"Country","State","City","Population","Lat","Lon"
"Spain","Madrid","Madrid",3165541,40.42,-3.71
"Spain","Barcelona","Barcelona",1608746,41.4,2.17
"Spain","Valencia","Valencia",790201,39.48,-0.39
"Spain","Seville","Seville",690566,37.4,-5.98
"Spain","Zaragoza","Zaragoza",666058,41.65,-0.89
"Spain","Malaga","Malaga",560631,36.72,-4.42
"Spain","Murcia","Murcia",441003,37.980000000000004,-1.1300000000000001
"Spain","LasPalmas","LasPalmas",378998,28.1,-15.43
"Spain","Balears","Palma",402949,39.57,2.65
"Spain","Vizcaya","Bilbao",345122,43.25,-2.93
"Spain","Cordoba","Cordoba",326609,37.88,-4.7700000000000005
"Spain","Alacant","Alicante",330525,38.35,-0.48
"Spain","Valladolid","Valladolid",301876,41.65,-4.74
"Spain","Pontevedra","Vigo",292817,42.22,-8.71
"Spain","Asturias","Gijon",276001,43.53,-5.67
"Spain","Barcelona","LHospitaletDeLlobregat",257349,41.35,2.1
"Spain","ACoruna","ACoruna",243978,43.33,-8.42
"Spain","Granada","Granada",234758,37.17,-3.59
"Spain","Alava","Vitoria",244634,42.85,-2.67
"Spain","SantaCruzDeTenerife","SantaCruzDeTenerife",206593,28.47,-16.25
"Spain","Barcelona","Badalona",215848,41.45,2.24
"Spain","Alacant","Elx",228675,38.27,-0.68
"Spain","Asturias","Oviedo",220567,43.35,-5.83
"Spain","Cadiz","Jerez",212915,36.68,-6.13
"Spain","Murcia","Cartagena",214759,37.61,-0.98
"Spain","Madrid","Mostoles",206589,40.32,-3.88
"Spain","Madrid","AlcalaDeHenares",194310,40.480000000000004,-3.37
"Spain","Barcelona","Sabadell",209931,41.550000000000004,2.1
"Spain","Barcelona","Terrassa",215121,41.57,2.
"Spain","Navarra","Pamplona",197138,42.82,-1.6500000000000001
"Spain","Madrid","Fuenlabrada",220384,40.27,-3.8000000000000003
"Spain","Almeria","Almeria",194203,36.83,-2.43
"Spain","Guipuzcoa","SanSebastian",186370,43.32,-1.98
"Spain","Cantabria","Santander",171951,43.47,-3.8000000000000003
"Spain","Madrid","Leganes",187720,40.33,-3.77
"Spain","Burgos","Burgos",176608,42.35,-3.69
"Spain","Castello","Castello",169498,39.97,-0.05
"Spain","Madrid","Alcorcon",167354,40.35,-3.8200000000000003
"Spain","Albacete","Albacete",172426,39.,-1.87
"Spain","Salamanca","Salamanca",144949,40.97,-5.67
"Spain","Madrid","Getafe",176659,40.300000000000004,-3.73
"Spain","LaRioja","Logrono",150979,42.47,-2.44
"Spain","Huelva","Huelva",145468,37.25,-6.94
"Spain","Badajoz","Badajoz",149946,38.88,-6.97
"Spain","SantaCruzDeTenerife","SanCristobalDeLaLaguna",153655,28.48,-16.32
"Spain","Leon","Leon",126192,42.59,-5.57
"Spain","Tarragona","Tarragona",131094,41.12,1.24
"Spain","Cadiz","Cadiz",130561,36.53,-6.29
"Spain","Lleida","Lleida",138144,41.62,0.63
"Spain","Malaga","Marbella",141172,36.52,-4.89
"Spain","Barcelona","SantaColomaDeGramenet",117597,41.47,2.22
"Spain","Barcelona","Mataro",125517,41.54,2.44
"Spain","Jaen","Jaen",114658,37.77,-3.8000000000000003
"Spain","Seville","DosHermanas",132551,37.28,-5.93
"Spain","Cadiz","Algeciras",121133,36.13,-5.45
"Spain","Madrid","TorrejonDeArdoz",136331,40.46,-3.48
"Spain","Ourense","Ourense",105893,42.33,-7.87
"Spain","Madrid","Alcobendas",114864,40.54,-3.64
"Spain","Alacant","Torrevieja",83252,37.980000000000004,-0.6900000000000001
"Spain","Tarragona","Reus",103123,41.160000000000004,1.11
"Spain","LasPalmas","Telde",102005,28.,-15.42
"Spain","Vizcaya","Barakaldo",100313,43.28,-2.98
"Spain","Madrid","Parla",125898,40.25,-3.77
"Spain","Cadiz","SanFernando",95643,36.47,-6.2
"Spain","ACoruna","SantiagoDeCompostela",96456,42.88,-8.540000000000001
"Spain","Lugo","Lugo",98268,43.02,-7.5600000000000005
"Spain","Caceres","Caceres",95814,39.47,-6.38
"Spain","Murcia","Lorca",92299,37.68,-1.7
"Spain","Girona","Girona",97586,41.980000000000004,2.81
"Spain","Barcelona","Cornella",86072,41.37,2.06
"Spain","Toledo","TalaveraDeLaReina",83303,39.96,-4.83
"Spain","Asturias","Aviles",80880,43.56,-5.91
"Spain","Madrid","Coslada",83011,40.43,-3.5700000000000003
"Spain","Cadiz","ElPuertoDeSantaMaria",88430,36.61,-6.23
"Spain","Vizcaya","Getxo",78406,43.36,-3.
"Spain","Palencia","Palencia",79137,42.03,-4.54
"Spain","Barcelona","SantBoiDeLlobregat",82142,41.36,2.0300000000000002
"Spain","Pontevedra","Pontevedra",82549,42.42,-8.66
"Spain","Madrid","PozueloDeAlarcon",85605,40.44,-3.81
"Spain","Alacant","Orihuela",76097,38.09,-0.9500000000000001
"Spain","Toledo","Toledo",83459,39.86,-4.03
"Spain","ACoruna","Ferrol",67569,43.49,-8.24
"Spain","Almeria","ElEjido",88096,36.79,-2.83
"Spain","Ceuta","Ceuta",84519,35.910000000000004,-5.3
"Spain","Madrid","LasRozasDeMadrid",95071,40.5,-3.87
"Spain","Guadalajara","Guadalajara",83633,40.64,-3.17
"Spain","Valencia","Gandia",74814,38.980000000000004,-0.18
"Spain","Valencia","Torrent",80762,39.44,-0.46
"Spain","Barcelona","SantCugatDelValles",89516,41.47,2.08
"Spain","Cadiz","Chiclana",82645,36.42,-6.15
"Spain","Barcelona","Manresa",74752,41.74,1.81
"Spain","Almeria","RoquetasDeMar",93363,36.77,-2.61
"Spain","CiudadReal","CiudadReal",74054,38.980000000000004,-3.94
"Spain","Barcelona","Rubi",75568,41.5,2.0300000000000002
"Spain","SantaCruzDeTenerife","Arona",80987,28.09,-16.67
"Spain","Malaga","VelezMalaga",79878,36.79,-4.1
"Spain","Alacant","Benidorm",69010,38.550000000000004,-0.14
"Spain","Madrid","SanSebastianDeLosReyes",86707,40.550000000000004,-3.62
"Spain","Melilla","Melilla",86026,35.300000000000004,-2.95
"Spain","Leon","Ponferrada",65788,42.550000000000004,-6.59
"Spain","Zamora","Zamora",63217,41.52,-5.75
