"FAACode","IATACode","ICAOCode","Country","State","City","Lat","Lon"
"SEA","SEA","KSEA","UnitedStates","Washington","Seattle",47.449,-122.309306
"PWM","PWM","KPWM","UnitedStates","Maine","Portland",43.646167,-70.309278
"LAX","LAX","KLAX","UnitedStates","California","LosAngeles",33.942536,-118.408075
"BWI","BWI","KBWI","UnitedStates","Maryland","Baltimore",39.175361,-76.668333
"CLE","CLE","KCLE","UnitedStates","Ohio","Cleveland",41.411689,-81.849794
"JAX","JAX","KJAX","UnitedStates","Florida","Jacksonville",30.494056,-81.687861
"MFR","MFR","KMFR","UnitedStates","Oregon","Medford",42.374228,-122.8735
"ILM","ILM","KILM","UnitedStates","NorthCarolina","Wilmington",34.270615,-77.902569
"PSC","PSC","KPSC","UnitedStates","Washington","Pasco",46.264694,-119.119028
"SUN","SUN","KSUN","UnitedStates","Idaho","Hailey",43.503778,-114.295553
"RIW","RIW","KRIW","UnitedStates","Wyoming","Riverton",43.064236,-108.459842
"PHX","PHX","KPHX","UnitedStates","Arizona","Phoenix",33.434278,-112.011583
"MCO","MCO","KMCO","UnitedStates","Florida","Orlando",28.429394,-81.308994
"IAH","IAH","KIAH","UnitedStates","Texas","Houston",29.984433,-95.341442
"PDX","PDX","KPDX","UnitedStates","Oregon","Portland",45.588722,-122.5975
"MSY","MSY","KMSY","UnitedStates","Louisiana","NewOrleans",29.993389,-90.258028
"IND","IND","KIND","UnitedStates","Indiana","Indianapolis",39.7173,-86.294661
"RSW","RSW","KRSW","UnitedStates","Florida","FortMyers",26.536167,-81.755167
"BUF","BUF","KBUF","UnitedStates","NewYork","Buffalo",42.940525,-78.732167
"GRR","GRR","KGRR","UnitedStates","Michigan","GrandRapids",42.880833,-85.522806
"ELP","ELP","KELP","UnitedStates","Texas","ElPaso",31.80725,-106.377583
"SYR","SYR","KSYR","UnitedStates","NewYork","Syracuse",43.111187,-76.106311
"TYS","TYS","KTYS","UnitedStates","Tennessee","Knoxville",35.810972,-83.994028
"LIT","LIT","KLIT","UnitedStates","Arkansas","LittleRock",34.729444,-92.224306
"ICT","ICT","KICT","UnitedStates","Kansas","Wichita",37.649944,-97.433056
"FAT","FAT","KFAT","UnitedStates","California","Fresno",36.776194,-119.71814
"MAF","MAF","KMAF","UnitedStates","Texas","Midland",31.942528,-102.201914
"FAR","FAR","KFAR","UnitedStates","NorthDakota","Fargo",46.92065,-96.815764
"CRP","CRP","KCRP","UnitedStates","Texas","CorpusChristi",27.770361,-97.501222
"BGR","BGR","KBGR","UnitedStates","Maine","Bangor",44.807444,-68.828139
"RAP","RAP","KRAP","UnitedStates","SouthDakota","RapidCity",44.045333,-103.057361
"TVC","TVC","KTVC","UnitedStates","Michigan","TraverseCity",44.741444,-85.582236
"CRW","CRW","KCRW","UnitedStates","WestVirginia","Charleston",38.373147,-81.593189
"DRO","DRO","KDRO","UnitedStates","Colorado","Durango",37.151516,-107.75377
"GTF","GTF","KGTF","UnitedStates","Montana","GreatFalls",47.482,-111.370689
"SGU","SGU","KSGU","UnitedStates","Utah","SaintGeorge",37.090583,-113.593056
"COU","COU","KCOU","UnitedStates","Missouri","Columbia",38.818094,-92.219631
"MLU","MLU","KMLU","UnitedStates","Louisiana","Monroe",32.510864,-92.037689
"FSM","FSM","KFSM","UnitedStates","Arkansas","FortSmith",35.336583,-94.367444
"YUM","YUM","KYUM","UnitedStates","Arizona","Yuma",32.656578,-114.60598
"ISN","ISN","KISN","UnitedStates","NorthDakota","Williston",48.177939,-103.642347
"ACV","ACV","KACV","UnitedStates","California","Arcata",40.978111,-124.108611
"GTR","GTR","KGTR","UnitedStates","Mississippi","Artesia",33.450333,-88.591361
"SPS","SPS","KSPS","UnitedStates","Texas","WichitaFalls",33.988797,-98.491894
"BJI","BJI","KBJI","UnitedStates","Minnesota","Bemidji",47.509425,-94.933723
"ABR","ABR","KABR","UnitedStates","SouthDakota","Aberdeen",45.449056,-98.421833
"RHI","RHI","KRHI","UnitedStates","Wisconsin","Rhinelander",45.631194,-89.467472
"PAH","PAH","KPAH","UnitedStates","Kentucky","Paducah",37.060289,-88.772958
"LAR","LAR","KLAR","UnitedStates","Wyoming","Laramie",41.312056,-105.675
"HYS","HYS","KHYS","UnitedStates","Kansas","Hays",38.842211,-99.273172
"PUB","PUB","KPUB","UnitedStates","Colorado","Pueblo",38.289085,-104.496572
"UIN","UIN","KUIN","UnitedStates","Illinois","Quincy",39.942733,-91.194567
"PGA","PGA","KPGA","UnitedStates","Arizona","Page",36.926083,-111.448361
"ALS","ALS","KALS","UnitedStates","Colorado","Alamosa",37.434917,-105.866556
"MSL","MSL","KMSL","UnitedStates","Alabama","MuscleShoals",34.745319,-87.610233
"SVC","SVC","KSVC","UnitedStates","NewMexico","SilverCity",32.636547,-108.156386
"GGW","GGW","KGGW","UnitedStates","Montana","Glasgow",48.2125,-106.614722
"SMN","SMN","KSMN","UnitedStates","Idaho","Salmon",45.123781,-113.881333
"WWD","WWD","KWWD","UnitedStates","NewJersey","Wildwood",39.008507,-74.908275
