"From","To","NumberOfPeople"
"SEA","PWM",127.
"SEA","LAX",2.174163e6
"SEA","BWI",462720.
"SEA","CLE",16023.
"SEA","JAX",211.
"SEA","MFR",103269.
"SEA","PSC",289391.
"SEA","SUN",15787.
"SEA","PHX",801554.
"SEA","MCO",247365.
"SEA","IAH",396019.
"SEA","PDX",660480.
"SEA","MSY",62064.
"SEA","IND",75027.
"SEA","RSW",14.
"SEA","BUF",150.
"SEA","GRR",512.
"SEA","ELP",963.
"SEA","SYR",3.
"SEA","LIT",89.
"SEA","ICT",23132.
"SEA","FAT",60158.
"SEA","MAF",173.
"SEA","FAR",136.
"SEA","CRP",16.
"SEA","GTF",32300.
"SEA","AMA",71.
"SEA","FCA",63264.
"SEA","SAN",734566.
"SEA","ATL",531543.
"SEA","ORD",1.053571e6
"SEA","DEN",932296.
"SEA","SFO",2.746473e6
"SEA","CLT",174887.
"SEA","MSP",555951.
"SEA","BOS",340342.
"SEA","EWR",965366.
"SEA","AUS",225945.
"SEA","RDU",97554.
"SEA","MCI",132991.
"SEA","PIT",16489.
"SEA","CMH",1079.
"SEA","OMA",55307.
"SEA","OKC",25116.
"SEA","RIC",226.
"SEA","BHM",156.
"SEA","ALB",176.
"SEA","DSM",151.
"SEA","MSN",140.
"SEA","BZN",92216.
"SEA","LBB",3.
"SEA","JAC",1650.
"SEA","GRB",162.
"SEA","SHV",166.
"SEA","EAT",63051.
"SEA","MSO",85032.
"SEA","EUG",134009.
"SEA","MFE",16.
"SEA","SBP",22587.
"SEA","DTW",393718.
"SEA","SLC",506567.
"SEA","BNA",126821.
"SEA","STL",135202.
"SEA","ABQ",64237.
"SEA","CHS",34820.
"SEA","RNO",87570.
"SEA","GEG",653072.
"SEA","TUL",260.
"SEA","BLI",100677.
"SEA","ASE",2259.
"SEA","ENV",570.
"SEA","LBF",34.
"SEA","TUS",69400.
"SEA","DFW",718648.
"SEA","FLL",150537.
"SEA","CVG",32234.
"SEA","MEM",3.
"SEA","BOI",302475.
"SEA","BIL",44404.
"SEA","RDM",142844.
"SEA","LAS",882825.
"PWM","LAX",12.
"PWM","BWI",274525.
"PWM","CLE",136.
"PWM","JAX",76.
"PWM","PHX",277.
"PWM","MCO",17291.
"PWM","IAH",11.
"PWM","PDX",8.
"PWM","MSY",37.
"PWM","IND",4.
"PWM","RSW",5425.
"PWM","BUF",9.
"PWM","TYS",1.
"PWM","BGR",5.
"PWM","PQI",13.
"PWM","ATL",90174.
"PWM","ORD",81001.
"PWM","DEN",10163.
"PWM","SFO",702.
"PWM","CLT",87711.
"PWM","MSP",68.
"PWM","BOS",12782.
"PWM","EWR",336928.
"PWM","AUS",219.
"PWM","RDU",7190.
"PWM","PIT",10.
"PWM","CMH",108.
"PWM","OKC",185.
"PWM","RIC",161.
"PWM","BHM",2.
"PWM","ALB",72.
"PWM","DSM",2.
"PWM","BTV",48.
"PWM","LBB",1.
"PWM","AGS",156.
"PWM","HTO",14.
"PWM","DTW",61137.
"PWM","SLC",159.
"PWM","BNA",418.
"PWM","STL",156.
"PWM","ABQ",16.
"PWM","CHS",92.
"PWM","RNO",5.
"PWM","DFW",89.
"PWM","FLL",284.
"PWM","CVG",13.
"PWM","MEM",1.
"PWM","LAS",111.
"LAX","SEA",2.180946e6
"LAX","PWM",197.
"LAX","BWI",1.119664e6
"LAX","CLE",150656.
"LAX","JAX",690.
"LAX","MFR",62008.
"LAX","PSC",2891.
"LAX","SUN",12327.
"LAX","PHX",2.196886e6
"LAX","MCO",712861.
"LAX","IAH",1.310028e6
"LAX","PDX",1.168336e6
"LAX","MSY",339053.
"LAX","IND",145051.
"LAX","RSW",654.
"LAX","BUF",41837.
"LAX","GRR",593.
"LAX","ELP",115614.
"LAX","SYR",658.
"LAX","LIT",3542.
"LAX","ICT",5671.
"LAX","FAT",138082.
"LAX","MAF",884.
"LAX","FAR",3154.
"LAX","CRP",86.
"LAX","BGR",2.
"LAX","RAP",7.
"LAX","DRO",511.
"LAX","SGU",11979.
"LAX","COU",4.
"LAX","YUM",6168.
"LAX","ACV",8870.
"LAX","SPS",144.
"LAX","LAR",142.
"LAX","PGA",21.
"LAX","LQK",4.
"LAX","AMA",355.
"LAX","FCA",10315.
"LAX","RDD",3.
"LAX","SAN",346890.
"LAX","ATL",1.334764e6
"LAX","ORD",2.151478e6
"LAX","DEN",2.170777e6
"LAX","SFO",8.359001e6
"LAX","CLT",362362.
"LAX","MSP",707615.
"LAX","BOS",911167.
"LAX","EWR",3.306292e6
"LAX","AUS",749415.
"LAX","RDU",138587.
"LAX","MCI",248385.
"LAX","PIT",89562.
"LAX","CMH",83672.
"LAX","OMA",48096.
"LAX","OKC",62664.
"LAX","RIC",592.
"LAX","BHM",1672.
"LAX","ALB",176.
"LAX","DSM",3261.
"LAX","MSN",464.
"LAX","BZN",22739.
"LAX","CID",2891.
"LAX","LBB",354.
"LAX","JAC",19331.
"LAX","GRB",160.
"LAX","SHV",6.
"LAX","TRI",96.
"LAX","MHK",57.
"LAX","FLG",814.
"LAX","ROW",2.
"LAX","MSO",8663.
"LAX","EUG",57188.
"LAX","MFE",3306.
"LAX","SBP",45536.
"LAX","DTW",499898.
"LAX","SLC",1.289985e6
"LAX","BNA",288430.
"LAX","STL",212138.
"LAX","ABQ",212090.
"LAX","CHS",393.
"LAX","RNO",282704.
"LAX","GEG",31086.
"LAX","TUL",37415.
"LAX","PNS",166.
"LAX","FSD",2889.
"LAX","SGF",16160.
"LAX","TLH",112.
"LAX","BLI",21045.
"LAX","ASE",57328.
"LAX","GUP",5.
"LAX","TCC",2.
"LAX","TUS",220788.
"LAX","DFW",2.218797e6
"LAX","FLL",796865.
"LAX","CVG",139333.
"LAX","MEM",52625.
"LAX","BOI",75284.
"LAX","BIL",2710.
"LAX","RDM",31276.
"LAX","SCE",4.
"LAX","LAS",2.55185e6
"BWI","SEA",452678.
"BWI","PWM",273409.
"BWI","LAX",1.102048e6
"BWI","CLE",313535.
"BWI","JAX",318509.
"BWI","ILM",24927.
"BWI","PHX",476215.
"BWI","MCO",2.183593e6
"BWI","IAH",898598.
"BWI","PDX",123425.
"BWI","MSY",434511.
"BWI","IND",294651.
"BWI","RSW",321796.
"BWI","BUF",553184.
"BWI","GRR",78364.
"BWI","ELP",2164.
"BWI","SYR",109089.
"BWI","TYS",90051.
"BWI","LIT",14547.
"BWI","ICT",505.
"BWI","FAT",154.
"BWI","MAF",591.
"BWI","FAR",472.
"BWI","CRP",210.
"BWI","BGR",39187.
"BWI","TVC",198.
"BWI","CRW",29799.
"BWI","AMA",441.
"BWI","BIS",315.
"BWI","SAN",387498.
"BWI","PQI",16.
"BWI","ATL",2.255193e6
"BWI","ORD",2.193706e6
"BWI","DEN",1.176529e6
"BWI","SFO",973535.
"BWI","CLT",1.388931e6
"BWI","MSP",657309.
"BWI","BOS",2.909917e6
"BWI","EWR",1.198227e6
"BWI","AUS",451015.
"BWI","RDU",540264.
"BWI","MCI",273247.
"BWI","PIT",275717.
"BWI","CMH",347499.
"BWI","OMA",55376.
"BWI","OKC",69575.
"BWI","RIC",398676.
"BWI","BHM",151862.
"BWI","ALB",322540.
"BWI","DSM",21685.
"BWI","MSN",17055.
"BWI","BTV",118442.
"BWI","CID",2096.
"BWI","JAN",12595.
"BWI","LBB",467.
"BWI","FWA",811.
"BWI","GRB",1103.
"BWI","AGS",664.
"BWI","SHV",154.
"BWI","EVV",669.
"BWI","DLH",168.
"BWI","LSE",353.
"BWI","GRI",163.
"BWI","MSO",94.
"BWI","MFE",518.
"BWI","EYW",13968.
"BWI","DTW",864799.
"BWI","SLC",238644.
"BWI","BNA",482271.
"BWI","STL",421871.
"BWI","ABQ",72217.
"BWI","CHS",499309.
"BWI","RNO",875.
"BWI","GEG",595.
"BWI","TUL",26999.
"BWI","PNS",71723.
"BWI","FSD",357.
"BWI","SGF",361.
"BWI","TLH",12221.
"BWI","ROA",35268.
"BWI","PIA",882.
"BWI","ASE",4129.
"BWI","LFT",633.
"BWI","MQT",316.
"BWI","ECG",890.
"BWI","TUS",65.
"BWI","DFW",1.347792e6
"BWI","FLL",1.939882e6
"BWI","CVG",576249.
"BWI","MEM",105254.
"BWI","BOI",1108.
"BWI","SCE",28004.
"BWI","LAS",551620.
"CLE","SEA",16019.
"CLE","PWM",8.
"CLE","LAX",147133.
"CLE","BWI",315742.
"CLE","JAX",9986.
"CLE","PHX",101881.
"CLE","MCO",404185.
"CLE","IAH",135646.
"CLE","PDX",10999.
"CLE","MSY",29229.
"CLE","IND",613.
"CLE","RSW",141510.
"CLE","BUF",175.
"CLE","GRR",112.
"CLE","ELP",9.
"CLE","LIT",44.
"CLE","ICT",11.
"CLE","MAF",15.
"CLE","FAR",142.
"CLE","SAN",9355.
"CLE","ATL",560296.
"CLE","ORD",750728.
"CLE","DEN",230053.
"CLE","SFO",77874.
"CLE","CLT",277616.
"CLE","MSP",104577.
"CLE","BOS",162470.
"CLE","EWR",347480.
"CLE","AUS",20732.
"CLE","RDU",24606.
"CLE","MCI",2515.
"CLE","PIT",70.
"CLE","CMH",40.
"CLE","OMA",274.
"CLE","OKC",367.
"CLE","RIC",128.
"CLE","BHM",14.
"CLE","ALB",54.
"CLE","DSM",184.
"CLE","MSN",186.
"CLE","CID",273.
"CLE","LBB",40.
"CLE","FWA",51.
"CLE","DTW",146743.
"CLE","SLC",17706.
"CLE","BNA",102314.
"CLE","STL",82704.
"CLE","ABQ",91.
"CLE","CHS",53491.
"CLE","RNO",6.
"CLE","GEG",1.
"CLE","TUL",406.
"CLE","PNS",4908.
"CLE","FSD",260.
"CLE","TLH",92.
"CLE","PIA",290.
"CLE","LFT",15.
"CLE","TUS",4.
"CLE","DFW",187418.
"CLE","FLL",188037.
"CLE","CVG",278.
"CLE","MEM",289.
"CLE","BOI",1.
"CLE","LAS",185160.
"JAX","SEA",334.
"JAX","PWM",164.
"JAX","LAX",530.
"JAX","BWI",327147.
"JAX","CLE",9528.
"JAX","PHX",2081.
"JAX","MCO",12349.
"JAX","IAH",136641.
"JAX","PDX",915.
"JAX","MSY",4296.
"JAX","IND",18709.
"JAX","BUF",3778.
"JAX","GRR",1.
"JAX","ELP",26.
"JAX","SYR",39.
"JAX","TYS",165.
"JAX","ICT",1.
"JAX","MAF",8.
"JAX","COU",192.
"JAX","FSM",51.
"JAX","SAN",1024.
"JAX","ATL",933388.
"JAX","ORD",189614.
"JAX","DEN",100107.
"JAX","SFO",1048.
"JAX","CLT",351351.
"JAX","MSP",32321.
"JAX","BOS",114413.
"JAX","EWR",404579.
"JAX","AUS",15104.
"JAX","RDU",334.
"JAX","MCI",3267.
"JAX","PIT",17206.
"JAX","CMH",5705.
"JAX","OMA",205.
"JAX","OKC",169.
"JAX","RIC",3188.
"JAX","BHM",72.
"JAX","ALB",740.
"JAX","MSN",9.
"JAX","JAN",9.
"JAX","LBB",26.
"JAX","DTW",26827.
"JAX","SLC",30.
"JAX","BNA",106212.
"JAX","STL",16464.
"JAX","ABQ",4.
"JAX","CHS",217.
"JAX","RNO",4.
"JAX","GEG",197.
"JAX","TUL",2.
"JAX","PNS",4.
"JAX","ROA",30.
"JAX","LFT",105.
"JAX","TUS",43.
"JAX","DFW",181912.
"JAX","FLL",251473.
"JAX","CVG",35781.
"JAX","MEM",160.
"JAX","BOI",9.
"JAX","LAS",15816.
"MFR","SEA",99246.
"MFR","LAX",61900.
"MFR","PSC",1.
"MFR","SUN",73.
"MFR","PHX",24453.
"MFR","PDX",96833.
"MFR","DEN",54578.
"MFR","SFO",103868.
"MFR","SLC",40530.
"MFR","ENV",141.
"MFR","RDM",3.
"MFR","LAS",16363.
"ILM","LAX",194.
"ILM","BWI",28421.
"ILM","JAX",6.
"ILM","IAH",30.
"ILM","MSY",92.
"ILM","ATL",195185.
"ILM","ORD",24114.
"ILM","CLT",407607.
"ILM","EWR",45193.
"ILM","RDU",144.
"ILM","PIT",3.
"ILM","ALB",37.
"ILM","BNA",82.
"ILM","STL",28.
"ILM","CHS",124.
"ILM","DFW",2258.
"ILM","CVG",6.
"PSC","SEA",295523.
"PSC","LAX",3043.
"PSC","PHX",16991.
"PSC","PDX",15848.
"PSC","DEN",46020.
"PSC","SFO",14552.
"PSC","MSP",33693.
"PSC","SLC",75010.
"PSC","GEG",40.
"PSC","ENV",822.
"PSC","LAS",19083.
"SUN","SEA",15870.
"SUN","LAX",11612.
"SUN","PDX",2148.
"SUN","ORD",358.
"SUN","DEN",9444.
"SUN","SFO",7511.
"SUN","BOS",2.
"SUN","EWR",3.
"SUN","DTW",10.
"SUN","SLC",91527.
"SUN","BOI",312.
"RIW","DEN",9382.
"RIW","GCC",2427.
"PHX","SEA",806348.
"PHX","PWM",94.
"PHX","LAX",2.215072e6
"PHX","BWI",474444.
"PHX","CLE",104565.
"PHX","JAX",46.
"PHX","MFR",24771.
"PHX","PSC",16900.
"PHX","MCO",431562.
"PHX","IAH",500185.
"PHX","PDX",440291.
"PHX","MSY",59556.
"PHX","IND",158909.
"PHX","RSW",4029.
"PHX","BUF",53474.
"PHX","GRR",24271.
"PHX","ELP",236787.
"PHX","SYR",138.
"PHX","TYS",278.
"PHX","LIT",37386.
"PHX","ICT",58583.
"PHX","FAT",107618.
"PHX","MAF",20133.
"PHX","FAR",43671.
"PHX","CRP",49.
"PHX","RAP",23723.
"PHX","DRO",34813.
"PHX","GTF",15873.
"PHX","SGU",32674.
"PHX","YUM",75692.
"PHX","PGA",3061.
"PHX","SVC",1662.
"PHX","AMA",8775.
"PHX","BIS",23380.
"PHX","MOT",20726.
"PHX","SOW",3765.
"PHX","SAN",750540.
"PHX","ATL",529876.
"PHX","ORD",1.43662e6
"PHX","DEN",1.102905e6
"PHX","SFO",1.900701e6
"PHX","CLT",470431.
"PHX","MSP",677629.
"PHX","BOS",263470.
"PHX","EWR",1.146356e6
"PHX","AUS",618566.
"PHX","RDU",43344.
"PHX","MCI",238746.
"PHX","PIT",130334.
"PHX","CMH",128163.
"PHX","OMA",191807.
"PHX","OKC",98741.
"PHX","RIC",1253.
"PHX","BHM",583.
"PHX","ALB",189.
"PHX","DSM",121541.
"PHX","MSN",15993.
"PHX","BZN",17094.
"PHX","CID",43498.
"PHX","LBB",18300.
"PHX","JAC",23968.
"PHX","FWA",10506.
"PHX","FLG",63032.
"PHX","GRI",15300.
"PHX","ROW",16874.
"PHX","PIH",164.
"PHX","CPR",2.
"PHX","MSO",18229.
"PHX","EUG",41207.
"PHX","MFE",2062.
"PHX","SBP",132397.
"PHX","LRD",30.
"PHX","DTW",375795.
"PHX","SLC",628711.
"PHX","BNA",134012.
"PHX","STL",251434.
"PHX","ABQ",330473.
"PHX","CHS",411.
"PHX","RNO",210971.
"PHX","GEG",136528.
"PHX","TUL",64139.
"PHX","PNS",80.
"PHX","FSD",54948.
"PHX","SGF",20301.
"PHX","TLH",19.
"PHX","BLI",23513.
"PHX","PIA",23162.
"PHX","ASE",55445.
"PHX","LFT",555.
"PHX","MQT",48.
"PHX","TUS",162055.
"PHX","DFW",909288.
"PHX","FLL",243336.
"PHX","CVG",110385.
"PHX","MEM",46931.
"PHX","BOI",145092.
"PHX","BIL",21347.
"PHX","RDM",20634.
"PHX","SCE",75.
"PHX","LAS",647641.
"MCO","SEA",235459.
"MCO","PWM",18285.
"MCO","LAX",701815.
"MCO","BWI",2.183066e6
"MCO","CLE",401121.
"MCO","JAX",11580.
"MCO","PHX",444578.
"MCO","IAH",1.143381e6
"MCO","PDX",60439.
"MCO","MSY",436689.
"MCO","IND",434130.
"MCO","RSW",6617.
"MCO","BUF",465926.
"MCO","GRR",146971.
"MCO","ELP",4942.
"MCO","SYR",133063.
"MCO","TYS",140559.
"MCO","LIT",16983.
"MCO","ICT",4321.
"MCO","MAF",412.
"MCO","FAR",13190.
"MCO","CRP",22.
"MCO","BGR",51575.
"MCO","CRW",52926.
"MCO","PAH",4.
"MCO","AMA",421.
"MCO","BIS",11741.
"MCO","SAN",170756.
"MCO","ATL",2.893439e6
"MCO","ORD",2.147531e6
"MCO","DEN",876985.
"MCO","SFO",366529.
"MCO","CLT",1.290356e6
"MCO","MSP",654443.
"MCO","BOS",1.978867e6
"MCO","EWR",4.673456e6
"MCO","AUS",364121.
"MCO","RDU",385945.
"MCO","MCI",267439.
"MCO","PIT",509772.
"MCO","CMH",399959.
"MCO","OMA",61342.
"MCO","OKC",35648.
"MCO","RIC",220217.
"MCO","BHM",147278.
"MCO","ALB",190237.
"MCO","DSM",57916.
"MCO","MSN",42934.
"MCO","BTV",43238.
"MCO","CID",70417.
"MCO","JAN",5208.
"MCO","LBB",562.
"MCO","FWA",42622.
"MCO","GRB",211.
"MCO","AGS",140.
"MCO","SHV",3611.
"MCO","EVV",31394.
"MCO","TRI",21126.
"MCO","DLH",85.
"MCO","MFE",10829.
"MCO","EYW",41349.
"MCO","DTW",1.078106e6
"MCO","SLC",254087.
"MCO","BNA",419379.
"MCO","STL",432384.
"MCO","ABQ",15173.
"MCO","CHS",2356.
"MCO","RNO",1137.
"MCO","GEG",273.
"MCO","TUL",54042.
"MCO","PNS",31322.
"MCO","FSD",23236.
"MCO","SGF",45858.
"MCO","TLH",15129.
"MCO","ROA",36223.
"MCO","PIA",67784.
"MCO","LFT",2596.
"MCO","OGS",16047.
"MCO","TUS",172.
"MCO","DFW",1.311644e6
"MCO","FLL",1.197234e6
"MCO","CVG",591860.
"MCO","MEM",145303.
"MCO","BOI",103.
"MCO","LAS",394143.
"IAH","SEA",393182.
"IAH","PWM",208.
"IAH","LAX",1.316549e6
"IAH","BWI",911187.
"IAH","CLE",131766.
"IAH","JAX",140978.
"IAH","PHX",507116.
"IAH","MCO",1.129533e6
"IAH","PDX",141056.
"IAH","MSY",853344.
"IAH","IND",154790.
"IAH","RSW",85292.
"IAH","BUF",843.
"IAH","GRR",25000.
"IAH","ELP",216245.
"IAH","SYR",76.
"IAH","TYS",42608.
"IAH","LIT",89872.
"IAH","ICT",63567.
"IAH","MAF",248062.
"IAH","CRP",190399.
"IAH","RAP",505.
"IAH","CRW",12011.
"IAH","COU",144.
"IAH","MLU",22386.
"IAH","GTR",266.
"IAH","AMA",41646.
"IAH","SAN",432623.
"IAH","ATL",1.007592e6
"IAH","ORD",1.064176e6
"IAH","DEN",1.039665e6
"IAH","SFO",818348.
"IAH","CLT",440564.
"IAH","MSP",264937.
"IAH","BOS",350656.
"IAH","EWR",865700.
"IAH","AUS",1.087215e6
"IAH","RDU",178751.
"IAH","MCI",226180.
"IAH","PIT",164577.
"IAH","CMH",88991.
"IAH","OMA",127602.
"IAH","OKC",304658.
"IAH","RIC",57810.
"IAH","BHM",198852.
"IAH","ALB",9.
"IAH","DSM",35896.
"IAH","MSN",186.
"IAH","BZN",5708.
"IAH","CID",115.
"IAH","JAN",69165.
"IAH","LBB",53703.
"IAH","JAC",4224.
"IAH","GRB",168.
"IAH","AGS",56.
"IAH","SHV",45465.
"IAH","PIH",76.
"IAH","EUG",52.
"IAH","MFE",393204.
"IAH","LRD",33222.
"IAH","DTW",293585.
"IAH","SLC",224548.
"IAH","BNA",301793.
"IAH","STL",251942.
"IAH","ABQ",189117.
"IAH","CHS",123407.
"IAH","RNO",11318.
"IAH","GEG",426.
"IAH","TUL",281319.
"IAH","PNS",303330.
"IAH","SGF",25317.
"IAH","TLH",53.
"IAH","ROA",142.
"IAH","ASE",57331.
"IAH","LFT",135566.
"IAH","TUS",70308.
"IAH","DFW",1.435822e6
"IAH","FLL",851627.
"IAH","CVG",194834.
"IAH","MEM",193299.
"IAH","BOI",24537.
"IAH","LAS",698574.
"PDX","SEA",654978.
"PDX","LAX",1.178966e6
"PDX","BWI",122372.
"PDX","CLE",9647.
"PDX","JAX",2.
"PDX","MFR",94440.
"PDX","PSC",15108.
"PDX","SUN",2458.
"PDX","PHX",445994.
"PDX","MCO",60513.
"PDX","IAH",141418.
"PDX","MSY",511.
"PDX","IND",454.
"PDX","RSW",24.
"PDX","BUF",1864.
"PDX","GRR",155.
"PDX","ELP",682.
"PDX","LIT",24.
"PDX","ICT",135.
"PDX","FAT",27531.
"PDX","MAF",1.
"PDX","FAR",100.
"PDX","CRP",13.
"PDX","FCA",10673.
"PDX","SAN",341494.
"PDX","ATL",228048.
"PDX","ORD",514717.
"PDX","DEN",509197.
"PDX","SFO",1.654326e6
"PDX","CLT",70968.
"PDX","MSP",277475.
"PDX","BOS",106660.
"PDX","EWR",355913.
"PDX","AUS",74780.
"PDX","RDU",414.
"PDX","MCI",54050.
"PDX","PIT",675.
"PDX","CMH",426.
"PDX","OMA",7641.
"PDX","OKC",255.
"PDX","RIC",7.
"PDX","BHM",89.
"PDX","ALB",58.
"PDX","MSN",14.
"PDX","BZN",20270.
"PDX","JAN",5.
"PDX","LBB",86.
"PDX","EAT",19.
"PDX","PIH",131.
"PDX","MSO",24120.
"PDX","EUG",54724.
"PDX","DTW",98185.
"PDX","SLC",341061.
"PDX","BNA",2485.
"PDX","STL",58371.
"PDX","ABQ",36301.
"PDX","RNO",62838.
"PDX","GEG",162023.
"PDX","TUL",248.
"PDX","PNS",2.
"PDX","BLI",15581.
"PDX","ENV",429.
"PDX","TUS",14432.
"PDX","DFW",354310.
"PDX","FLL",169.
"PDX","CVG",275.
"PDX","MEM",155.
"PDX","BOI",140472.
"PDX","BIL",22572.
"PDX","RDM",80889.
"PDX","LAS",437281.
"MSY","SEA",59968.
"MSY","PWM",212.
"MSY","LAX",342412.
"MSY","BWI",432378.
"MSY","CLE",29417.
"MSY","JAX",3557.
"MSY","ILM",363.
"MSY","PHX",65244.
"MSY","MCO",431397.
"MSY","IAH",861425.
"MSY","PDX",1355.
"MSY","IND",10790.
"MSY","RSW",3758.
"MSY","BUF",447.
"MSY","GRR",1139.
"MSY","ELP",612.
"MSY","TYS",662.
"MSY","LIT",1615.
"MSY","ICT",45.
"MSY","MAF",1513.
"MSY","CRP",1502.
"MSY","COU",90.
"MSY","GTR",147.
"MSY","AMA",234.
"MSY","SAN",57729.
"MSY","ATL",1.022383e6
"MSY","ORD",389649.
"MSY","DEN",237155.
"MSY","SFO",156653.
"MSY","CLT",323973.
"MSY","MSP",85437.
"MSY","BOS",117399.
"MSY","EWR",515119.
"MSY","AUS",153869.
"MSY","RDU",35796.
"MSY","MCI",42552.
"MSY","PIT",15786.
"MSY","CMH",26451.
"MSY","OMA",259.
"MSY","OKC",2017.
"MSY","RIC",2560.
"MSY","BHM",953.
"MSY","ALB",702.
"MSY","DSM",236.
"MSY","MSN",1146.
"MSY","LBB",373.
"MSY","FWA",377.
"MSY","GRB",512.
"MSY","AGS",994.
"MSY","SHV",2.
"MSY","TRI",146.
"MSY","MFE",1256.
"MSY","DTW",155620.
"MSY","SLC",46809.
"MSY","BNA",134860.
"MSY","STL",76712.
"MSY","ABQ",1290.
"MSY","CHS",2922.
"MSY","RNO",1661.
"MSY","GEG",743.
"MSY","TUL",1887.
"MSY","PNS",32.
"MSY","SGF",388.
"MSY","TLH",44.
"MSY","ROA",617.
"MSY","PIA",579.
"MSY","ASE",304.
"MSY","LFT",130.
"MSY","TUS",386.
"MSY","DFW",726349.
"MSY","FLL",361769.
"MSY","CVG",22793.
"MSY","MEM",2355.
"MSY","BOI",428.
"MSY","LAS",133986.
"IND","SEA",70433.
"IND","PWM",4.
"IND","LAX",142677.
"IND","BWI",298247.
"IND","CLE",668.
"IND","JAX",17982.
"IND","PHX",162425.
"IND","MCO",433570.
"IND","IAH",154785.
"IND","PDX",462.
"IND","MSY",9624.
"IND","RSW",154439.
"IND","BUF",213.
"IND","GRR",101.
"IND","ELP",95.
"IND","SYR",47.
"IND","LIT",81.
"IND","ICT",92.
"IND","MAF",24.
"IND","COU",148.
"IND","PAH",2.
"IND","AMA",2.
"IND","SAN",16409.
"IND","ATL",516298.
"IND","ORD",375645.
"IND","DEN",279719.
"IND","SFO",116121.
"IND","CLT",202815.
"IND","MSP",149998.
"IND","BOS",103472.
"IND","EWR",321630.
"IND","AUS",32825.
"IND","RDU",24273.
"IND","MCI",57384.
"IND","PIT",1117.
"IND","CMH",459.
"IND","OMA",286.
"IND","OKC",443.
"IND","RIC",271.
"IND","BHM",324.
"IND","ALB",370.
"IND","DSM",151.
"IND","MSN",272.
"IND","BZN",158.
"IND","BTV",3.
"IND","CID",597.
"IND","LBB",60.
"IND","AGS",1.
"IND","MFE",157.
"IND","DTW",143548.
"IND","SLC",36946.
"IND","BNA",742.
"IND","STL",332.
"IND","ABQ",431.
"IND","CHS",22330.
"IND","RNO",58.
"IND","GEG",25.
"IND","TUL",100.
"IND","PNS",6599.
"IND","FSD",248.
"IND","SGF",26.
"IND","TLH",40.
"IND","ROA",46.
"IND","ASE",37.
"IND","TUS",215.
"IND","DFW",266926.
"IND","FLL",160705.
"IND","CVG",249.
"IND","MEM",236.
"IND","BOI",118.
"IND","SCE",183.
"IND","LAS",173566.
"RSW","SEA",462.
"RSW","PWM",5051.
"RSW","LAX",231.
"RSW","BWI",338667.
"RSW","CLE",140417.
"RSW","JAX",126.
"RSW","PHX",4120.
"RSW","MCO",8035.
"RSW","IAH",83624.
"RSW","PDX",30.
"RSW","MSY",3338.
"RSW","IND",152514.
"RSW","BUF",61491.
"RSW","GRR",45786.
"RSW","ELP",1.
"RSW","SYR",3255.
"RSW","TYS",25560.
"RSW","LIT",52.
"RSW","MAF",4.
"RSW","FAR",96.
"RSW","CRW",3644.
"RSW","SAN",95.
"RSW","ATL",869660.
"RSW","ORD",683073.
"RSW","DEN",87105.
"RSW","SFO",866.
"RSW","CLT",352460.
"RSW","MSP",258113.
"RSW","BOS",452495.
"RSW","EWR",851189.
"RSW","AUS",213.
"RSW","RDU",17503.
"RSW","MCI",35065.
"RSW","PIT",116546.
"RSW","CMH",112157.
"RSW","OMA",10470.
"RSW","OKC",175.
"RSW","RIC",504.
"RSW","ALB",7031.
"RSW","DSM",19451.
"RSW","MSN",5004.
"RSW","BTV",3868.
"RSW","CID",28330.
"RSW","FWA",26823.
"RSW","MFE",8.
"RSW","EYW",6067.
"RSW","DTW",346000.
"RSW","SLC",1353.
"RSW","BNA",31135.
"RSW","STL",131561.
"RSW","ABQ",56.
"RSW","CHS",522.
"RSW","RNO",11.
"RSW","TUL",28.
"RSW","SGF",4774.
"RSW","TLH",6.
"RSW","PIA",25029.
"RSW","TUS",1.
"RSW","DFW",145759.
"RSW","FLL",4052.
"RSW","CVG",217088.
"RSW","MEM",115.
"RSW","LAS",3332.
"BUF","SEA",748.
"BUF","LAX",40753.
"BUF","BWI",551876.
"BUF","CLE",177.
"BUF","JAX",4046.
"BUF","PHX",48648.
"BUF","MCO",477558.
"BUF","IAH",711.
"BUF","PDX",1011.
"BUF","MSY",591.
"BUF","IND",385.
"BUF","RSW",62442.
"BUF","GRR",2.
"BUF","ELP",13.
"BUF","SYR",232.
"BUF","BGR",1.
"BUF","SAN",529.
"BUF","PQI",2.
"BUF","ATL",342932.
"BUF","ORD",530012.
"BUF","DEN",19588.
"BUF","SFO",2004.
"BUF","CLT",218173.
"BUF","MSP",63176.
"BUF","BOS",173182.
"BUF","EWR",751939.
"BUF","AUS",10602.
"BUF","RDU",9328.
"BUF","MCI",432.
"BUF","PIT",4353.
"BUF","CMH",523.
"BUF","OMA",3.
"BUF","OKC",114.
"BUF","RIC",291.
"BUF","BHM",202.
