"Country","State","City","Population","Lat","Lon"
"UnitedKingdom","GreaterLondon","London",8673713,51.5,-0.1166667
"UnitedKingdom","Birmingham","Birmingham",1123000,52.4666667,-1.9166667
"UnitedKingdom","Leeds","Leeds",766399,53.799722,-1.549167
"UnitedKingdom","GlasgowCity","Glasgow",598830,55.8333333,-4.25
"UnitedKingdom","Sheffield","Sheffield",518090,53.3666667,-1.5
"UnitedKingdom","Bradford","Bradford",522452,53.7833333,-1.75
"UnitedKingdom","Manchester","Manchester",520215,53.5,-2.2166667
"UnitedKingdom","Liverpool","Liverpool",513441,53.4166667,-3.
"UnitedKingdom","Edinburgh","Edinburgh",446110,55.95,-3.2
"UnitedKingdom","Bristol","Bristol",449300,51.45,-2.5833333
"UnitedKingdom","GreaterLondon","Croydon",363378,51.3727,-0.1099
"UnitedKingdom","Leicester","Leicester",464395,52.6333333,-1.1333333
"UnitedKingdom","Coventry","Coventry",362690,52.4166667,-1.55
"UnitedKingdom","Doncaster","Doncaster",109805,53.5333333,-1.1166667
"UnitedKingdom","Cardiff","Caerdydd",346100,51.5,-3.2
"UnitedKingdom","Belfast","Belfast",281000,54.5833333,-5.9333333
"UnitedKingdom","NewcastleUponTyne","NewcastleUponTyne",276960,54.9880556,-1.6194444
"UnitedKingdom","Bolton","Bolton",276786,53.5833333,-2.4333333
"UnitedKingdom","Sunderland","Sunderland",174286,54.9119444,-1.3833333
"UnitedKingdom","StokeOnTrent","StokeOnTrent",249008,53.,-2.1833333
"UnitedKingdom","KingstonUponHull","KingstonUponHull",256406,53.7166667,-0.3333333
"UnitedKingdom","GreaterLondon","Greenwich",254557,51.48,0
"UnitedKingdom","Wolverhampton","Wolverhampton",250970,52.5833333,-2.1333333
"UnitedKingdom","MiltonKeynes","MiltonKeynes",248821,52.0333333,-0.7
"UnitedKingdom","Plymouth","Plymouth",267918,50.3963889,-4.1386111
"UnitedKingdom","Nottingham","Nottingham",321500,52.9666667,-1.1666667
"UnitedKingdom","Southampton","Southampton",253651,50.9,-1.4
"UnitedKingdom","Reading","Reading",244070,51.4333333,-1.
"UnitedKingdom","Derby","Derby",248700,52.9333333,-1.5
"UnitedKingdom","Barnsley","Barnsley",96082,53.55,-1.4833333
"UnitedKingdom","Oldham","Oldham",96555,53.55,-2.1166667
"UnitedKingdom","Warrington","Warrington",202228,53.3833333,-2.6
"UnitedKingdom","Dudley","Dudley",199059,52.5,-2.0833333
"UnitedKingdom","York","York",257342,53.9666667,-1.0833333
"UnitedKingdom","Northamptonshire","Northampton",197322,52.25,-0.8833333
"UnitedKingdom","Portsmouth","Portsmouth",248440,50.8090805768295,-1.07142448425293
"UnitedKingdom","Luton","Luton",193669,51.8833333,-0.4166667
"UnitedKingdom","StocktonOnTees","StocktonOnTees",191610,54.56822,-1.314433
"UnitedKingdom","Lancashire","Preston",190687,53.7666667,-2.7166667
"UnitedKingdom","Norfolk","Norwich",195971,52.6333333,1.3
"UnitedKingdom","AberdeenCity","Aberdeen",228990,57.1333333,-2.1
"UnitedKingdom","Bournemouth","Bournemouth",183491,50.7166667,-1.8833333
"UnitedKingdom","Essex","Colchester",173074,51.8833333,0.9
"UnitedKingdom","Walsall","Walsall",172141,52.6,-2.
"UnitedKingdom","Swansea","Swansea",170883,51.6333333,-3.9666667
"UnitedKingdom","SouthendOnSea","SouthendOnSea",173658,51.5333333,0.7
"UnitedKingdom","BrightonAndHove","Brighton",155919,50.8283849472495,-0.139474868774414
"UnitedKingdom","Wiltshire","Swindon",155432,51.558333,-1.781111
"UnitedKingdom","Oxfordshire","Oxford",151906,51.7522210025796,-1.25596046447754
"UnitedKingdom","Kirklees","Huddersfield",149017,53.65,-1.7833333
"UnitedKingdom","Poole","Poole",147645,50.7166667,-2.
"UnitedKingdom","DundeeCity","Dundee",148210,56.5,-2.9666667
"UnitedKingdom","Suffolk","Ipswich",147522,52.0546544307833,1.15699768066406
"UnitedKingdom","Blackpool","Blackpool",142100,53.8166667,-3.05
"UnitedKingdom","Middlesbrough","Middlesbrough",142707,54.5727778,-1.1627778
"UnitedKingdom","Hertfordshire","SaintAlbans",57795,51.75,-0.3333333
"UnitedKingdom","Peterborough","Peterborough",194000,52.5833333,-0.25
"UnitedKingdom","Stockport","Stockport",139052,53.4,-2.15
"UnitedKingdom","Kent","Maidstone",107627,51.2666667,0.5166667
"UnitedKingdom","Shropshire","Telford",138241,52.6766,-2.4469
"UnitedKingdom","WestMidlands","WestBromwich",135618,52.5166667,-2.
"UnitedKingdom","Slough","Slough",134072,51.5,-0.5833333
"UnitedKingdom","Gloucestershire","Gloucester",145563,51.8333333,-2.25
"UnitedKingdom","Cambridgeshire","Cambridge",123867,52.2,0.1166667
"UnitedKingdom","Cheshire","Halton",125746,53.3166667,-2.7
"UnitedKingdom","Hertfordshire","Watford",125707,51.6666667,-0.4
"UnitedKingdom","Cheshire","Chester",81340,53.2,-2.9166667
"UnitedKingdom","Rotherham","Rotherham",117618,53.4333333,-1.35
"UnitedKingdom","Newport","Casnewydd",117326,51.5833333,-2.9833333
"UnitedKingdom","Hampshire","Winchester",116595,51.0632,-1.3085
"UnitedKingdom","Devon","Exeter",124180,50.7,-3.5333333
"UnitedKingdom","EastSussex","Eastbourne",112906,50.8,0.25
